"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFTS_01688",336.744990588832,0.513043160319508,0.207559483678915,2.47178857465826,0.0134438998677875,0.053863181880712
"LFTS_01689",802.752448672054,0.607899794623422,0.198282616198025,3.06582496377954,0.00217070349792908,0.0121916223856291
"LFTS_01690",1406.06582826276,0.37078548513024,0.15520776450143,2.38896221668616,0.0168960398858727,0.0639450124911488
"LFTS_01692",1036.33701918571,0.409602700164192,0.171879560461922,2.38307975109661,0.0171684744945223,0.0646775608828864
"LFTS_01693",463.880068062244,0.374486960737016,0.192721055239129,1.94315540807075,0.0519973840420427,0.149257368428734
"LFTS_01694",285.872893285111,-0.0405539085729267,0.213058435771392,-0.190341717407709,0.849041365386621,0.918128847169522
"LFTS_01695",1.77895509297019,-1.80994842315176,1.89183777393581,-0.956714390677542,0.338711432577519,0.552906519005108
"LFTS_01696",4107.9182858481,0.107593090593778,0.155530524815641,0.691781183927173,0.489074754755039,0.6896380504099
"LFTS_01697",3224.29799459862,0.210721870891678,0.177973353128817,1.18400798314542,0.236409902703243,0.440582091401498
"LFTS_01698",80.2565823798423,-0.973990662176092,0.378761837049124,-2.5715121400939,0.0101255465216618,0.0430948865800831
"LFTS_01699",122.498352552576,0.189680774994228,0.257908413968395,0.735457878537735,0.462060683773371,0.67099721492473
"LFTS_01700",492.677454270925,-0.270635296676204,0.215749591471504,-1.25439540733476,0.20969832104154,0.406187299025345
"LFTS_01701",1339.61613324141,0.106530679281805,0.218191488734903,0.48824397275751,0.625377041275006,0.789747187647081
"LFTS_01702",4685.50351570233,0.321644502489965,0.1487645221159,2.16210490186213,0.0306100912891648,0.0989498351791661
"LFTS_01703",536.860567887775,-1.1929647161123,0.295206790432839,-4.04111543085829,5.31975635986144e-05,0.000519309549415045
"LFTS_01704",1340.66230830834,-0.0946509223049904,0.149603943252767,-0.632676654418598,0.526944818187918,0.720157918190154
"LFTS_01705",420.337244341893,-0.702548067411063,0.1813602324356,-3.87377132228001,0.000107163974978296,0.000934834675342586
"LFTS_01706",169.020995227232,-0.525081769406022,0.2726456228345,-1.92587639569315,0.0541198094226477,0.15391298402279
"LFTS_01707",755.735727204851,-0.415186469082618,0.174801214442205,-2.37519213128747,0.0175398176235167,0.0659754607857052
"LFTS_01708",227.222915765451,0.367558134637728,0.213618304965366,1.72063033033298,0.0853179260390207,0.214823027692928
"LFTS_01709",18.3421653377714,-1.14676682703383,0.608715151872481,-1.88391372139537,0.059576646894471,0.165415972190066
"LFTS_01710",609.289025318257,-0.116678244286788,0.181356773639961,-0.643363034889583,0.519988563273874,0.714222147210346
"LFTS_01711",1363.57804145587,-0.181753396814059,0.185897598094389,-0.977707074632425,0.328219221749242,0.542620487569312
"LFTS_01712",1042.73179014016,0.40370588314082,0.166909220993782,2.41871527970202,0.0155754261132244,0.060171316392162
"LFTS_01713",508.719369123818,0.912127008823429,0.1822616596994,5.00449195035193,5.60095523069751e-07,8.55798128417135e-06
"LFTS_01714",468.571604675289,-0.258573551663907,0.210902125956104,-1.22603577603445,0.220185212276526,0.421194107465206
"LFTS_01715",691.283609174602,0.217378271095907,0.174087505610624,1.24867244397257,0.211784903579256,0.408300049220195
"LFTS_01716",289.733074042918,0.425466292656919,0.210421970621586,2.02196705695746,0.043179755277767,0.129539265833301
"LFTS_01717",59.1480559959602,0.117833166440829,0.338340527391923,0.348267963489738,0.727638951036002,0.849545239463011
"LFTS_01718",180.001778755698,-0.00766489955097656,0.235440315622658,-0.0325555949528252,0.974028981137019,0.986965211142706
"LFTS_01719",653.955799385892,-0.0860269158349823,0.169237116927398,-0.508321799596052,0.611227684469572,0.780101915774415
"LFTS_01720",130.477676508189,0.085089128788175,0.305506125840289,0.278518568340124,0.780614313243127,0.884121183507409
"LFTS_01721",891.914732840103,0.16812460387814,0.174863057167641,0.961464397348143,0.336318718398053,0.550828260492151
"LFTS_01722",1685.7818168426,-0.199255842845134,0.179403315328097,-1.1106586435191,0.266715309986632,0.473062198460147
"LFTS_01723",349.791024420041,-1.29694262097638,0.22092235135858,-5.8705812834271,4.34269799838415e-09,9.20951472071122e-08
"LFTS_01724",849.414513905216,-0.429743789157796,0.172513797039755,-2.49106910016456,0.0127359347554312,0.0517857842948111
"LFTS_01725",702.557920234628,0.55334755510521,0.163825418347354,3.37766605870625,0.000731037989567512,0.00484731389308916
"LFTS_01726",588.465592159668,0.378192991429197,0.176595873480499,2.14157320879279,0.0322278415358092,0.103229804919389
"LFTS_01727",217.053528763191,0.290550514099113,0.229116790687995,1.26813278601993,0.204750534957909,0.399434033304089
"LFTS_01728",434.691016730813,-0.168807018580882,0.213824137462157,-0.789466617681355,0.429839333256223,0.641790222464779
"LFTS_01729",280.943661027852,0.570144966194614,0.244098293885627,2.33571876770985,0.0195059036965285,0.0706694007267454
"LFTS_01730",453.216741136006,0.523938854112422,0.204568465930391,2.56119070810603,0.0104314077249555,0.0442435569023975
"LFTS_01731",5087.24198965486,0.616455856890437,0.181808725489939,3.39068356168941,0.000697185484920179,0.00467323240573199
"LFTS_01732",991.453399066829,0.424371290229978,0.179885934036683,2.35911324864032,0.0183186644194941,0.0675620906626019
"LFTS_01733",141.504488025165,-0.378793024468725,0.267116393640631,-1.41808227981072,0.156166744117017,0.330326905011059
"LFTS_01734",1666.89335983071,0.0734761391536328,0.190005554725732,0.386705216380088,0.698974453931394,0.832194032875877
"LFTS_01735",291.348411775174,0.0974926222282679,0.211954731001518,0.459969078149851,0.645538415762143,0.804424023042164
"LFTS_01736",618.97773633548,-0.0991809860791084,0.177752721792676,-0.557971687177815,0.576863717863288,0.759466019161613
"LFTS_01737",1309.97144595944,-0.036830461826573,0.167041482764456,-0.220486918680597,0.825491959100092,0.903340844922699
"LFTS_01738",538.301996875946,0.298964525139019,0.198409804825907,1.5068031814322,0.131861113863813,0.296235927036511
"LFTS_01739",561.421580081633,0.389164687948201,0.183299298999625,2.1231106178371,0.0337445834825082,0.106427698715833
"LFTS_01740",108.112335846959,0.143389204244114,0.278097894335975,0.515606939730667,0.606128962402743,0.776198463045678
"LFTS_01741",100.906836166258,-0.285329967191803,0.302917649550067,-0.941939063688141,0.346223838865482,0.559232201975763
"LFTS_01742",4212.0813591475,0.463575479243096,0.154512571435823,3.00024441335275,0.00269763045147698,0.0143640063000722
"LFTS_01743",4182.51750705182,-0.809094245634995,0.189367938305805,-4.27260418460284,1.93203233276683e-05,0.000215058802651874
"LFTS_01744",43664.1813625397,-0.149620642758958,0.184684053963001,-0.81014380802434,0.417857528650467,0.629473068267085
"LFTS_01745",3599.91601942274,-0.090675460346195,0.165592074170255,-0.547583335739645,0.583978034351208,0.764141470480836
